Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25200.00, 25200.00, 25200.00, 25200.00, 1, 1, 0, 1
2026/2/18, 08:15:00, 25348.50, 25348.50, 25348.50, 25348.50, 1, 1, 0, 1
2026/2/18, 14:15:00, 25435.50, 25435.50, 25435.50, 25435.50, 1, 1, 0, 1
2026/2/18, 17:15:00, 25555.00, 25555.00, 25555.00, 25555.00, 1, 1, 0, 1
2026/2/19, 14:15:00, 25352.00, 25352.00, 25352.00, 25352.00, 1, 1, 0, 1
2026/2/20, 15:15:00, 25522.50, 25522.50, 25522.50, 25522.50, 1, 1, 0, 1
2026/2/23, 00:15:00, 25365.50, 25365.50, 25300.25, 25300.25, 3, 3, 3, 0
2026/2/23, 14:15:00, 25305.75, 25312.50, 25305.75, 25312.50, 3, 3, 3, 0
2026/2/23, 20:15:00, 25170.00, 25200.25, 25170.00, 25200.25, 2, 2, 0, 2
2026/2/24, 11:15:00, 25327.50, 25327.50, 25327.50, 25327.50, 1, 1, 0, 1
2026/2/24, 14:15:00, 25155.50, 25155.50, 25155.50, 25155.50, 1, 1, 1, 0
2026/2/24, 15:15:00, 25425.50, 25425.50, 25425.50, 25425.50, 1, 1, 0, 1
2026/2/25, 12:15:00, 25565.00, 25565.00, 25565.00, 25565.00, 1, 1, 0, 1
2026/2/25, 14:15:00, 25710.00, 25775.50, 25710.00, 25775.50, 2, 2, 0, 2
2026/2/25, 20:15:00, 25825.00, 25825.00, 25818.75, 25823.25, 3, 3, 1, 2
2026/2/25, 21:15:00, 25864.50, 25864.50, 25864.50, 25864.50, 1, 1, 1, 0
2026/2/25, 22:15:00, 25851.25, 25851.25, 25851.25, 25851.25, 1, 1, 1, 0
2026/2/26, 01:15:00, 25705.50, 25705.50, 25705.50, 25705.50, 2, 2, 2, 0
2026/2/26, 07:15:00, 25781.00, 25781.00, 25781.00, 25781.00, 2, 2, 2, 0
2026/2/26, 14:15:00, 25665.00, 25665.00, 25637.50, 25637.50, 4, 4, 4, 0
2026/2/26, 15:15:00, 25360.00, 25360.00, 25360.00, 25360.00, 3, 3, 3, 0
2026/2/26, 18:15:00, 25430.75, 25430.75, 25420.75, 25420.75, 2, 2, 1, 1
2026/2/26, 19:15:00, 25499.00, 25499.00, 25494.00, 25494.00, 2, 2, 1, 1
2026/2/27, 14:15:00, 25389.50, 25389.50, 25351.25, 25381.25, 3, 3, 2, 1
2026/2/27, 15:15:00, 25382.50, 25431.25, 25372.75, 25414.75, 9, 9, 5, 4
2026/2/27, 16:15:00, 25424.75, 25430.00, 25408.25, 25412.25, 4, 4, 2, 2
2026/2/27, 20:15:00, 25356.75, 25440.50, 25356.75, 25440.50, 4, 4, 1, 3
2026/3/1, 22:15:00, 25247.50, 25247.50, 25247.50, 25247.50, 1, 1, 1, 0
2026/3/1, 23:15:00, 25206.25, 25206.25, 25180.00, 25180.00, 2, 2, 1, 1
2026/3/2, 00:15:00, 25300.00, 25300.00, 25300.00, 25300.00, 1, 1, 0, 1
2026/3/2, 06:15:00, 25090.00, 25090.00, 24975.00, 25009.50, 5, 5, 2, 3
2026/3/2, 08:15:00, 24920.50, 24920.50, 24920.50, 24920.50, 1, 1, 0, 1
