Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4975.0, 5001.4, 4974.7, 4974.7, 12, 12, 8, 4
2026/2/18, 00:00:00, 4988.3, 4988.5, 4988.3, 4988.5, 2, 2, 0, 2
2026/2/18, 01:00:00, 5004.9, 5010.5, 5004.9, 5010.5, 4, 3, 3, 1
2026/2/18, 02:00:00, 5011.6, 5027.5, 5011.2, 5027.5, 14, 14, 9, 5
2026/2/18, 03:00:00, 5030.4, 5030.7, 5029.6, 5029.6, 3, 3, 1, 2
2026/2/18, 04:00:00, 5050.0, 5052.3, 5050.0, 5052.3, 2, 2, 0, 2
2026/2/18, 05:00:00, 5059.1, 5059.1, 5059.1, 5059.1, 1, 1, 0, 1
2026/2/18, 06:00:00, 5055.0, 5055.0, 5055.0, 5055.0, 1, 1, 0, 1
2026/2/18, 07:00:00, 5058.4, 5058.4, 5058.4, 5058.4, 1, 1, 1, 0
2026/2/18, 08:00:00, 5050.0, 5050.0, 5050.0, 5050.0, 1, 1, 1, 0
2026/2/18, 12:00:00, 5047.1, 5060.5, 5046.1, 5060.5, 11, 8, 6, 5
2026/2/18, 13:00:00, 5081.5, 5082.2, 5081.0, 5082.2, 16, 7, 1, 15
2026/2/18, 14:00:00, 5091.2, 5118.9, 5091.2, 5118.9, 8, 4, 6, 2
2026/2/18, 15:00:00, 5131.0, 5131.0, 5130.0, 5130.0, 2, 2, 1, 1
2026/2/18, 17:00:00, 5123.2, 5123.2, 5123.2, 5123.2, 1, 1, 0, 1
2026/2/18, 19:00:00, 5107.3, 5110.0, 5107.3, 5110.0, 2, 2, 1, 1
2026/2/18, 20:00:00, 5103.1, 5103.1, 5103.1, 5103.1, 1, 1, 0, 1
2026/2/18, 21:00:00, 5107.3, 5108.6, 5106.2, 5108.6, 5, 5, 5, 0
2026/2/18, 23:00:00, 5106.4, 5106.4, 5106.4, 5106.4, 1, 1, 1, 0
2026/2/19, 00:00:00, 5087.3, 5095.0, 5086.8, 5092.6, 13, 12, 1, 12
2026/2/19, 02:00:00, 5091.8, 5091.8, 5090.9, 5091.2, 3, 3, 2, 1
2026/2/19, 03:00:00, 5091.2, 5106.1, 5091.2, 5106.1, 2, 2, 1, 1
2026/2/19, 04:00:00, 5107.6, 5107.6, 5107.0, 5107.0, 7, 5, 4, 3
2026/2/19, 05:00:00, 5110.1, 5121.8, 5110.1, 5121.8, 2, 2, 1, 1
2026/2/19, 06:00:00, 5125.0, 5133.8, 5123.6, 5133.8, 7, 7, 2, 5
2026/2/19, 08:00:00, 5133.0, 5141.5, 5133.0, 5141.5, 2, 2, 1, 1
2026/2/19, 09:00:00, 5144.2, 5144.2, 5121.5, 5121.5, 16, 16, 8, 8
2026/2/19, 10:00:00, 5120.7, 5120.7, 5111.0, 5111.8, 6, 6, 4, 2
2026/2/19, 11:00:00, 5111.0, 5111.0, 5111.0, 5111.0, 1, 1, 1, 0
2026/2/19, 12:00:00, 5108.7, 5110.5, 5106.5, 5110.5, 9, 7, 4, 5
2026/2/19, 13:00:00, 5100.0, 5122.1, 5100.0, 5122.1, 9, 7, 4, 5
2026/2/19, 14:00:00, 5113.0, 5133.0, 5108.0, 5133.0, 12, 10, 5, 7
2026/2/19, 15:00:00, 5125.0, 5148.8, 5125.0, 5140.0, 19, 16, 7, 12
2026/2/19, 16:00:00, 5135.0, 5135.0, 5120.0, 5120.0, 20, 14, 17, 3
2026/2/19, 17:00:00, 5124.0, 5124.0, 5116.7, 5120.5, 9, 6, 6, 3
2026/2/19, 18:00:00, 5107.7, 5107.7, 5107.7, 5107.7, 5, 4, 0, 5
2026/2/19, 19:00:00, 5115.0, 5115.0, 5115.0, 5115.0, 1, 1, 1, 0
2026/2/19, 20:00:00, 5120.6, 5126.7, 5120.6, 5126.7, 6, 6, 2, 4
2026/2/19, 21:00:00, 5127.6, 5129.0, 5124.4, 5124.4, 4, 4, 2, 2
2026/2/20, 00:00:00, 5126.4, 5130.3, 5126.4, 5130.1, 6, 5, 3, 3
2026/2/20, 02:00:00, 5131.2, 5131.2, 5131.2, 5131.2, 1, 1, 0, 1
2026/2/20, 03:00:00, 5124.4, 5124.4, 5124.4, 5124.4, 1, 1, 0, 1
2026/2/20, 04:00:00, 5123.6, 5125.8, 5123.6, 5125.8, 2, 2, 0, 2
2026/2/20, 05:00:00, 5127.5, 5135.2, 5127.5, 5135.2, 13, 8, 4, 9
2026/2/20, 06:00:00, 5139.8, 5155.3, 5139.4, 5148.4, 18, 17, 7, 11
2026/2/20, 07:00:00, 5145.0, 5153.4, 5141.0, 5141.0, 3, 3, 3, 0
2026/2/20, 08:00:00, 5138.0, 5157.1, 5138.0, 5157.1, 4, 4, 0, 4
2026/2/20, 09:00:00, 5158.0, 5167.9, 5158.0, 5159.7, 10, 9, 7, 3
2026/2/20, 10:00:00, 5150.0, 5163.8, 5150.0, 5159.9, 8, 6, 5, 3
2026/2/20, 11:00:00, 5162.0, 5162.0, 5146.5, 5146.5, 4, 4, 1, 3
2026/2/20, 12:00:00, 5141.0, 5150.0, 5134.5, 5149.4, 16, 12, 10, 6
2026/2/20, 13:00:00, 5153.2, 5173.5, 5153.0, 5173.5, 22, 19, 10, 12
2026/2/20, 14:00:00, 5166.8, 5185.2, 5166.8, 5180.2, 18, 12, 12, 6
2026/2/20, 15:00:00, 5190.0, 5190.0, 5128.0, 5167.1, 42, 33, 17, 25
2026/2/20, 16:00:00, 5180.8, 5196.5, 5179.0, 5195.0, 28, 22, 4, 24
2026/2/20, 17:00:00, 5199.5, 5200.1, 5199.5, 5199.7, 3, 3, 2, 1
2026/2/20, 18:00:00, 5200.8, 5200.9, 5198.4, 5198.4, 4, 3, 2, 2
2026/2/20, 19:00:00, 5205.5, 5210.0, 5204.5, 5210.0, 5, 5, 2, 3
2026/2/20, 20:00:00, 5217.5, 5219.7, 5217.5, 5219.7, 3, 3, 1, 2
2026/2/20, 21:00:00, 5228.4, 5231.3, 5228.4, 5231.3, 2, 2, 1, 1
2026/2/22, 23:00:00, 5243.4, 5301.0, 5243.4, 5299.9, 61, 40, 30, 31
2026/2/23, 00:00:00, 5279.2, 5291.7, 5266.0, 5277.8, 38, 32, 24, 14
2026/2/23, 01:00:00, 5283.8, 5298.7, 5283.8, 5298.7, 14, 11, 6, 8
2026/2/23, 02:00:00, 5298.2, 5310.0, 5298.2, 5305.4, 25, 17, 9, 16
2026/2/23, 03:00:00, 5293.0, 5303.5, 5289.0, 5303.5, 5, 5, 3, 2
2026/2/23, 04:00:00, 5290.0, 5291.4, 5289.4, 5290.7, 5, 5, 2, 3
2026/2/23, 05:00:00, 5289.0, 5289.0, 5289.0, 5289.0, 1, 1, 1, 0
2026/2/23, 06:00:00, 5287.6, 5287.6, 5280.3, 5285.5, 6, 6, 3, 3
2026/2/23, 07:00:00, 5267.5, 5270.0, 5263.4, 5270.0, 5, 5, 5, 0
2026/2/23, 08:00:00, 5270.7, 5270.7, 5263.7, 5263.7, 9, 6, 8, 1
2026/2/23, 09:00:00, 5278.1, 5280.0, 5278.1, 5280.0, 2, 2, 1, 1
2026/2/23, 10:00:00, 5282.0, 5290.9, 5282.0, 5290.9, 4, 4, 2, 2
2026/2/23, 12:00:00, 5297.4, 5297.4, 5297.4, 5297.4, 1, 1, 0, 1
2026/2/23, 13:00:00, 5287.5, 5287.5, 5277.5, 5277.5, 10, 10, 6, 4
2026/2/23, 14:00:00, 5280.3, 5333.2, 5280.3, 5322.0, 39, 27, 21, 18
2026/2/23, 15:00:00, 5324.0, 5339.0, 5317.8, 5328.7, 14, 12, 10, 4
2026/2/23, 16:00:00, 5325.0, 5352.2, 5314.0, 5344.0, 65, 36, 12, 53
2026/2/23, 17:00:00, 5338.9, 5344.0, 5334.9, 5334.9, 4, 4, 2, 2
2026/2/23, 18:00:00, 5345.0, 5345.0, 5338.6, 5338.6, 2, 2, 0, 2
2026/2/23, 19:00:00, 5350.0, 5350.0, 5350.0, 5350.0, 1, 1, 0, 1
2026/2/23, 20:00:00, 5352.7, 5367.1, 5352.7, 5367.1, 25, 17, 11, 14
2026/2/23, 21:00:00, 5371.8, 5371.8, 5360.0, 5360.0, 6, 6, 3, 3
2026/2/23, 23:00:00, 5372.2, 5382.6, 5372.1, 5372.1, 18, 11, 10, 8
2026/2/24, 00:00:00, 5353.6, 5369.3, 5353.6, 5360.0, 7, 6, 4, 3
2026/2/24, 01:00:00, 5340.0, 5340.0, 5306.3, 5306.3, 7, 7, 4, 3
2026/2/24, 02:00:00, 5298.5, 5319.8, 5298.5, 5319.8, 3, 3, 2, 1
2026/2/24, 03:00:00, 5314.0, 5314.0, 5303.2, 5303.2, 2, 2, 2, 0
2026/2/24, 04:00:00, 5295.4, 5306.6, 5293.6, 5297.0, 9, 9, 8, 1
2026/2/24, 05:00:00, 5298.1, 5302.9, 5298.1, 5302.7, 12, 10, 11, 1
2026/2/24, 06:00:00, 5316.0, 5316.0, 5316.0, 5316.0, 1, 1, 1, 0
2026/2/24, 07:00:00, 5309.2, 5314.0, 5308.1, 5314.0, 3, 3, 0, 3
2026/2/24, 08:00:00, 5307.0, 5307.0, 5301.9, 5301.9, 2, 2, 2, 0
2026/2/24, 09:00:00, 5305.3, 5305.3, 5299.3, 5299.3, 4, 4, 3, 1
2026/2/24, 12:00:00, 5296.0, 5296.0, 5283.3, 5283.3, 5, 5, 4, 1
2026/2/24, 13:00:00, 5283.3, 5286.4, 5240.0, 5240.0, 6, 5, 2, 4
2026/2/24, 14:00:00, 5240.0, 5266.7, 5234.0, 5259.8, 13, 11, 6, 7
2026/2/24, 15:00:00, 5252.6, 5284.1, 5252.6, 5284.1, 12, 11, 5, 7
2026/2/24, 16:00:00, 5280.6, 5283.0, 5273.7, 5279.2, 17, 15, 8, 9
2026/2/24, 17:00:00, 5275.0, 5285.4, 5275.0, 5285.4, 2, 2, 1, 1
2026/2/24, 18:00:00, 5297.6, 5299.9, 5293.2, 5293.2, 5, 5, 1, 4
2026/2/24, 20:00:00, 5295.7, 5298.9, 5290.1, 5290.1, 7, 6, 2, 5
2026/2/24, 23:00:00, 5262.3, 5262.3, 5262.3, 5262.3, 2, 2, 2, 0
2026/2/25, 00:00:00, 5283.1, 5284.9, 5283.1, 5284.9, 4, 4, 2, 2
2026/2/25, 01:00:00, 5295.4, 5317.3, 5295.3, 5310.0, 15, 10, 7, 8
2026/2/25, 02:00:00, 5313.2, 5324.4, 5313.2, 5318.0, 9, 9, 2, 7
2026/2/25, 05:00:00, 5322.0, 5330.6, 5322.0, 5330.6, 8, 5, 2, 6
2026/2/25, 06:00:00, 5330.6, 5330.6, 5323.1, 5323.1, 9, 4, 9, 0
2026/2/25, 07:00:00, 5318.9, 5318.9, 5318.9, 5318.9, 1, 1, 0, 1
2026/2/25, 09:00:00, 5315.0, 5324.0, 5315.0, 5321.5, 4, 4, 3, 1
2026/2/25, 10:00:00, 5303.0, 5310.5, 5303.0, 5310.5, 2, 2, 2, 0
2026/2/25, 11:00:00, 5296.6, 5312.0, 5290.3, 5312.0, 7, 7, 3, 4
2026/2/25, 12:00:00, 5310.7, 5315.5, 5310.7, 5314.5, 3, 3, 2, 1
2026/2/25, 13:00:00, 5318.5, 5321.7, 5318.5, 5319.2, 9, 8, 4, 5
2026/2/25, 14:00:00, 5319.8, 5320.0, 5310.0, 5317.0, 6, 5, 5, 1
2026/2/25, 15:00:00, 5329.2, 5332.6, 5329.0, 5332.6, 10, 8, 0, 10
2026/2/25, 16:00:00, 5331.9, 5344.5, 5331.9, 5343.7, 23, 16, 7, 16
2026/2/25, 17:00:00, 5345.6, 5350.1, 5345.6, 5350.1, 14, 8, 6, 8
2026/2/25, 20:00:00, 5317.2, 5317.3, 5299.4, 5299.4, 6, 6, 6, 0
2026/2/25, 21:00:00, 5300.5, 5300.5, 5300.5, 5300.5, 1, 1, 0, 1
2026/2/26, 00:00:00, 5292.9, 5296.9, 5292.9, 5296.9, 5, 4, 3, 2
2026/2/26, 01:00:00, 5322.3, 5322.3, 5322.3, 5322.3, 1, 1, 0, 1
2026/2/26, 02:00:00, 5322.1, 5322.1, 5308.4, 5313.8, 7, 6, 2, 5
2026/2/26, 03:00:00, 5314.9, 5320.4, 5312.9, 5320.4, 10, 8, 5, 5
2026/2/26, 04:00:00, 5322.1, 5327.6, 5322.1, 5322.9, 4, 3, 3, 1
2026/2/26, 05:00:00, 5332.0, 5332.0, 5332.0, 5332.0, 1, 1, 0, 1
2026/2/26, 06:00:00, 5321.3, 5321.3, 5321.3, 5321.3, 1, 1, 1, 0
2026/2/26, 07:00:00, 5319.5, 5319.5, 5312.2, 5315.5, 5, 5, 3, 2
2026/2/26, 08:00:00, 5298.8, 5298.8, 5298.8, 5298.8, 1, 1, 0, 1
2026/2/26, 09:00:00, 5304.5, 5317.5, 5304.5, 5314.5, 3, 3, 1, 2
2026/2/26, 10:00:00, 5301.4, 5301.4, 5295.0, 5295.0, 2, 2, 2, 0
2026/2/26, 12:00:00, 5312.0, 5315.5, 5312.0, 5315.4, 5, 4, 2, 3
2026/2/26, 13:00:00, 5309.0, 5309.0, 5297.4, 5297.4, 3, 3, 1, 2
2026/2/26, 14:00:00, 5296.3, 5301.0, 5280.6, 5296.2, 12, 11, 6, 6
2026/2/26, 15:00:00, 5268.8, 5318.2, 5268.4, 5317.3, 20, 12, 16, 4
2026/2/26, 16:00:00, 5313.5, 5313.6, 5313.4, 5313.6, 3, 3, 0, 3
2026/2/26, 17:00:00, 5313.8, 5318.8, 5313.8, 5318.6, 9, 7, 4, 5
2026/2/26, 18:00:00, 5300.4, 5314.6, 5291.1, 5314.6, 12, 8, 6, 6
2026/2/26, 19:00:00, 5316.9, 5322.8, 5316.9, 5322.8, 4, 4, 2, 2
2026/2/26, 20:00:00, 5321.8, 5329.4, 5321.8, 5328.2, 4, 3, 1, 3
2026/2/26, 21:00:00, 5328.9, 5328.9, 5328.9, 5328.9, 1, 1, 1, 0
2026/2/26, 23:00:00, 5314.8, 5314.8, 5314.8, 5314.8, 1, 1, 0, 1
2026/2/27, 00:00:00, 5322.7, 5322.8, 5304.5, 5304.5, 3, 3, 1, 2
2026/2/27, 01:00:00, 5318.9, 5321.2, 5318.9, 5321.2, 3, 2, 2, 1
2026/2/27, 02:00:00, 5325.4, 5325.4, 5304.4, 5304.4, 6, 5, 5, 1
2026/2/27, 03:00:00, 5311.0, 5319.0, 5311.0, 5319.0, 7, 4, 4, 3
2026/2/27, 04:00:00, 5316.3, 5316.3, 5316.3, 5316.3, 10, 7, 8, 2
2026/2/27, 05:00:00, 5321.5, 5326.4, 5321.5, 5325.7, 6, 6, 0, 6
2026/2/27, 07:00:00, 5310.8, 5310.8, 5309.0, 5309.0, 2, 2, 2, 0
2026/2/27, 08:00:00, 5306.0, 5310.6, 5306.0, 5310.6, 2, 2, 1, 1
2026/2/27, 09:00:00, 5307.0, 5307.0, 5301.7, 5301.7, 3, 3, 3, 0
2026/2/27, 10:00:00, 5302.0, 5308.6, 5297.3, 5299.6, 8, 8, 3, 5
2026/2/27, 12:00:00, 5315.0, 5315.0, 5315.0, 5315.0, 1, 1, 1, 0
2026/2/27, 13:00:00, 5342.6, 5372.2, 5342.4, 5356.4, 38, 32, 18, 20
2026/2/27, 14:00:00, 5355.3, 5367.5, 5348.0, 5354.6, 18, 15, 10, 8
2026/2/27, 15:00:00, 5367.5, 5376.7, 5350.6, 5376.7, 15, 13, 5, 10
2026/2/27, 16:00:00, 5378.8, 5389.5, 5360.0, 5360.0, 24, 17, 12, 12
2026/2/27, 17:00:00, 5364.0, 5367.6, 5357.0, 5367.0, 15, 13, 9, 6
2026/2/27, 18:00:00, 5361.7, 5377.0, 5361.7, 5377.0, 10, 10, 4, 6
2026/2/27, 19:00:00, 5381.5, 5382.4, 5378.9, 5378.9, 4, 4, 1, 3
2026/2/27, 20:00:00, 5384.0, 5396.7, 5382.8, 5396.7, 25, 18, 11, 14
2026/2/27, 21:00:00, 5394.9, 5406.9, 5390.2, 5406.5, 18, 13, 9, 9
2026/3/1, 23:00:00, 5510.0, 5522.4, 5448.7, 5520.4, 84, 66, 62, 22
2026/3/2, 00:00:00, 5512.5, 5512.5, 5507.1, 5507.1, 3, 3, 2, 1
2026/3/2, 01:00:00, 5470.0, 5470.0, 5433.7, 5433.7, 7, 6, 6, 1
2026/3/2, 02:00:00, 5453.9, 5478.9, 5445.4, 5477.5, 18, 18, 6, 12
2026/3/2, 03:00:00, 5477.9, 5492.6, 5477.9, 5492.4, 13, 13, 9, 4
2026/3/2, 04:00:00, 5492.9, 5492.9, 5477.2, 5477.2, 8, 7, 7, 1
2026/3/2, 05:00:00, 5473.3, 5473.3, 5470.0, 5470.0, 2, 2, 2, 0
2026/3/2, 06:00:00, 5507.0, 5520.0, 5507.0, 5520.0, 8, 7, 1, 7
2026/3/2, 07:00:00, 5521.0, 5550.4, 5520.8, 5535.0, 49, 33, 19, 30
2026/3/2, 08:00:00, 5538.0, 5546.9, 5530.0, 5531.0, 23, 15, 20, 3
2026/3/2, 09:00:00, 5528.6, 5528.6, 5520.0, 5520.0, 9, 7, 6, 3
2026/3/2, 10:00:00, 5516.8, 5528.4, 5510.0, 5512.6, 7, 7, 5, 2
2026/3/2, 11:00:00, 5512.7, 5527.6, 5507.0, 5508.7, 14, 11, 11, 3
2026/3/2, 12:00:00, 5522.8, 5529.7, 5519.0, 5529.7, 23, 19, 7, 16
2026/3/2, 13:00:00, 5527.8, 5541.3, 5514.9, 5540.0, 19, 18, 9, 10
2026/3/2, 14:00:00, 5498.3, 5500.4, 5440.0, 5465.7, 32, 28, 18, 14
2026/3/2, 15:00:00, 5455.0, 5465.8, 5438.9, 5443.5, 21, 20, 13, 8
2026/3/2, 16:00:00, 5436.2, 5441.0, 5403.0, 5420.0, 18, 18, 9, 9
2026/3/2, 17:00:00, 5440.1, 5446.6, 5436.7, 5436.7, 3, 3, 1, 2
2026/3/2, 18:00:00, 5438.1, 5445.5, 5438.1, 5445.5, 12, 9, 4, 8
2026/3/2, 19:00:00, 5447.0, 5460.0, 5447.0, 5460.0, 15, 10, 7, 8
2026/3/2, 20:00:00, 5468.0, 5474.3, 5462.0, 5473.5, 19, 12, 9, 10
2026/3/2, 21:00:00, 5467.1, 5467.5, 5457.1, 5457.1, 10, 10, 9, 1
2026/3/2, 23:00:00, 5473.4, 5473.4, 5472.2, 5472.2, 3, 3, 3, 0
2026/3/3, 00:00:00, 5471.3, 5490.4, 5471.3, 5481.0, 7, 7, 2, 5
2026/3/3, 01:00:00, 5505.3, 5505.3, 5481.0, 5481.0, 3, 3, 2, 1
2026/3/3, 02:00:00, 5472.7, 5496.4, 5471.2, 5496.4, 17, 17, 10, 7
2026/3/3, 03:00:00, 5497.7, 5500.0, 5497.7, 5499.8, 4, 4, 2, 2
2026/3/3, 04:00:00, 5499.4, 5501.2, 5494.9, 5494.9, 5, 4, 2, 3
2026/3/3, 05:00:00, 5494.6, 5494.6, 5434.0, 5440.7, 27, 20, 18, 9
2026/3/3, 06:00:00, 5444.9, 5444.9, 5410.0, 5431.7, 16, 12, 12, 4
2026/3/3, 07:00:00, 5436.9, 5457.4, 5436.9, 5455.7, 9, 9, 6, 3
